HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP8"
                OPERATOR        "EF"
                CREATION_DATE   10-02-2021/04:29:01.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                411041836,      "138",  1,      52.495210,      89.115360,     64.188500,       2.695000,       10-02-2021/05:24:43.0,  0.000000,       107,   00001100;
                411041837,      "139",  1,      52.502510,      89.255560,     64.333600,       2.695000,       10-02-2021/05:24:56.0,  0.000000,       107,   00001100;
                411041838,      "140",  1,      55.252650,      88.593950,     65.604600,       2.695000,       10-02-2021/05:25:58.0,  0.000000,       107,   00001100;
                411041839,      "141",  1,      55.225770,      89.223780,     65.522400,       2.695000,       10-02-2021/05:26:12.0,  0.000000,       107,   00001100;
                411041840,      "142",  1,      118.352580,     87.054910,     25.689700,       2.695000,       10-02-2021/05:28:18.0,  0.000000,       107,   00001100;
                411041841,      "143",  1,      118.412490,     87.372500,     25.724300,       2.695000,       10-02-2021/05:28:37.0,  0.000000,       107,   00001100;
                411041842,      "144",  1,      118.070010,     86.500160,     22.804200,       2.695000,       10-02-2021/05:28:58.0,  0.000000,       107,   00001100;
                411041843,      "145",  1,      118.010440,     87.062750,     22.709600,       2.695000,       10-02-2021/05:29:14.0,  0.000000,       107,   00001100;
                411041844,      "146",  1,      117.360560,     86.030710,     19.298400,       2.695000,       10-02-2021/05:29:30.0,  0.000000,       107,   00001100;
                411041845,      "147",  1,      117.391550,     86.394250,     19.346600,       2.695000,       10-02-2021/05:29:41.0,  0.000000,       107,   00001100;
                411041846,      "148",  1,      116.054820,     84.373260,     14.079500,       2.695000,       10-02-2021/05:29:58.0,  0.000000,       107,   00001100;
                411041847,      "149",  1,      116.041230,     85.412950,     14.008700,       2.695000,       10-02-2021/05:30:14.0,  0.000000,       107,   00001100;
                411041848,      "150",  1,      114.505240,     83.275570,     11.133400,       2.695000,       10-02-2021/05:30:26.0,  0.000000,       107,   00001100;
                411041849,      "151",  1,      114.445570,     84.135760,     10.952800,       2.695000,       10-02-2021/05:30:41.0,  0.000000,       107,   00001100;
                411041850,      "152",  1,      191.200890,     86.152310,     25.470600,       2.695000,       10-02-2021/05:31:34.0,  0.000000,       107,   00001100;
                411041851,      "153",  1,      191.195050,     86.423630,     25.426900,       2.695000,       10-02-2021/05:31:45.0,  0.000000,       107,   00001100;
                411041852,      "154",  1,      185.544580,     85.515990,     26.666200,       2.695000,       10-02-2021/05:32:00.0,  0.000000,       107,   00001100;
                411041853,      "155",  1,      185.544810,     86.285610,     26.527300,       2.695000,       10-02-2021/05:32:11.0,  0.000000,       107,   00001100;
