HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP12"
                OPERATOR        "EF"
                CREATION_DATE   06-07-2022/08:09:22.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                444596247,      "117",  1,      7.211850,       89.405330,     83.063000,       2.700000,       06-07-2022/09:17:46.0,  0.000000,       107,   00001110;
                444596248,      "118",  1,      9.402540,       89.304780,     76.470500,       2.700000,       06-07-2022/09:18:13.0,  0.000000,       107,   00001110;
                444596249,      "119",  1,      9.350470,       89.533110,     76.318500,       2.700000,       06-07-2022/09:18:25.0,  0.000000,       107,   00001110;
                444596250,      "120",  1,      12.014310,      89.161780,     70.413400,       2.700000,       06-07-2022/09:18:58.0,  0.000000,       107,   00001110;
                444596251,      "121",  1,      12.032780,      89.415050,     70.441500,       2.700000,       06-07-2022/09:19:13.0,  0.000000,       107,   00001110;
                444596252,      "122",  1,      352.351940,     89.484970,     62.940000,       2.700000,       06-07-2022/09:20:15.0,  0.000000,       107,   00001110;
                444596253,      "123",  1,      352.305710,     90.162510,     62.896200,       2.700000,       06-07-2022/09:20:28.0,  0.000000,       107,   00001110;
                444596254,      "124",  1,      351.352580,     89.375110,     68.354700,       2.700000,       06-07-2022/09:20:54.0,  0.000000,       107,   00001110;
                444596255,      "125",  1,      351.322630,     89.594820,     68.370000,       2.700000,       06-07-2022/09:21:04.0,  0.000000,       107,   00001110;
                444596256,      "126",  1,      350.125280,     89.411280,     75.294000,       2.700000,       06-07-2022/09:21:40.0,  0.000000,       107,   00001110;
                444596257,      "127",  1,      350.124610,     89.561850,     75.145800,       2.700000,       06-07-2022/09:21:51.0,  0.000000,       107,   00001110;
                444596258,      "128",  1,      349.000610,     89.440340,     82.430700,       2.700000,       06-07-2022/09:22:37.0,  0.000000,       107,   00001110;
                444596259,      "129",  1,      349.034770,     90.015940,     82.497000,       2.700000,       06-07-2022/09:22:52.0,  0.000000,       107,   00001110;
                444596260,      "130",  1,      348.223080,     89.534790,     87.948400,       2.700000,       06-07-2022/09:23:30.0,  0.000000,       107,   00001110;
                444596261,      "131",  1,      348.214120,     90.033020,     87.890300,       2.700000,       06-07-2022/09:23:45.0,  0.000000,       107,   00001110;
                444596262,      "132",  1,      332.001680,     90.110030,     87.464400,       2.700000,       06-07-2022/09:24:46.0,  0.000000,       107,   00001110;
                444596263,      "133",  1,      331.593530,     90.251440,     87.429100,       2.700000,       06-07-2022/09:25:08.0,  0.000000,       107,   00001110;
                444596264,      "134",  1,      332.340670,     90.151270,     82.613300,       2.700000,       06-07-2022/09:25:53.0,  0.000000,       107,   00001110;
                444596265,      "135",  1,      332.315390,     90.311860,     82.558800,       2.700000,       06-07-2022/09:26:04.0,  0.000000,       107,   00001110;
                444596266,      "136",  1,      333.583860,     90.215600,     74.630000,       2.700000,       06-07-2022/09:26:30.0,  0.000000,       107,   00001110;
                444596267,      "137",  1,      333.545870,     90.273840,     74.655800,       2.700000,       06-07-2022/09:26:49.0,  0.000000,       107,   00001110;
                444596268,      "138",  1,      333.324740,     90.165550,     68.105500,       2.700000,       06-07-2022/09:27:15.0,  0.000000,       107,   00001110;
